Label,Pred,Avg_Score,Score_P1,Score_P2,Score_P3,Score_P4,Score_P5
1,1,-5.347896146774292,-2.9064548015594482,-8.611320495605469,-7.390313148498535,-4.224660873413086,-3.606731414794922
1,1,-5.695267939567566,-7.052335739135742,-6.942245960235596,-3.8848280906677246,-7.564300060272217,-4.76948881149292
1,1,-6.055689318974813,-7.478450298309326,-4.101900577545166,-7.633395195007324,-11.458412170410156,-3.2105021476745605
1,1,-6.149058636029562,-1.864486575126648,-6.838601112365723,-12.019792556762695,-3.823700189590454,-3.593440055847168
1,1,-6.501698565483093,-4.911074638366699,-11.777885437011719,-3.817692279815674,-7.739120006561279,-7.257025241851807
1,1,-6.497122677167257,-9.579160690307617,-4.015684127807617,-6.9482293128967285,-9.990730285644531,-3.2802176475524902
1,1,-6.47401868502299,-3.929621696472168,-6.748116970062256,-10.182581901550293,-3.7032575607299805,-3.2298824787139893
1,1,-6.127803182601929,-5.827384948730469,-10.31396484375,-3.720165252685547,-4.367260456085205,-6.080789566040039
1,1,-5.734312105178833,-8.817556381225586,-3.654684543609619,-4.419529438018799,-5.7756428718566895,-5.2442426681518555
1,1,-5.432954470316569,-3.498809814453125,-4.484340190887451,-5.74738883972168,-5.063645839691162,-4.478911399841309
1,1,-4.924122142791748,-4.637605667114258,-5.4696173667907715,-4.573409557342529,-4.196381092071533,-3.8000664710998535
1,1,-4.562839508056641,-4.752118110656738,-4.426398277282715,-3.8998448848724365,-3.9082891941070557,-5.505765914916992
1,1,-4.279348758856456,-4.514118194580078,-4.01120138168335,-4.44133186340332,-5.556396484375,-0.4976869225502014
1,1,-3.9683256030082696,-3.812856435775757,-4.349340438842773,-5.260444641113281,-1.0550189018249512,-3.5340723991394043
1,1,-3.5299118240674336,-4.578592300415039,-5.332833290100098,-1.0968728065490723,-3.0354528427124023,-1.8724584579467773
1,1,-3.0804384787877397,-5.224606037139893,-1.0716824531555176,-3.3012261390686035,-2.111509084701538,-0.5696109533309937
1,1,-2.7126962423324588,-0.8999855518341064,-3.5164432525634766,-2.3731274604797363,-3.422436475753784,-2.28360652923584
1,1,-2.5628957509994508,-2.287146806716919,-2.1068780422210693,-3.0152132511138916,-3.046651601791382,-3.2133126258850098
1,1,-2.7016833146413166,-2.6080236434936523,-2.903451442718506,-2.9314141273498535,-2.9082143306732178,-3.0093445777893066
1,1,-2.979037078221639,-2.6239216327667236,-3.750561475753784,-4.030754089355469,-3.854799747467041,-2.3958687782287598
1,1,-3.2429861386617027,-2.764169216156006,-4.096590995788574,-3.172318696975708,-3.073622703552246,-4.5217366218566895
1,1,-3.539776039123535,-2.965043067932129,-3.1408095359802246,-3.10050892829895,-4.563247203826904,-5.042687892913818
1,1,-3.887976479530334,-1.1534961462020874,-3.107947587966919,-4.3751115798950195,-9.861538887023926,-3.3808181285858154
1,1,-4.130227160453796,-2.916496753692627,-4.417717456817627,-7.543406009674072,-3.6186652183532715,-2.7659130096435547
1,1,-3.88902583916982,-2.805279016494751,-5.5960693359375,-3.2083797454833984,-1.9436758756637573,-1.640872836112976
1,1,-4.072310511271159,-5.577671051025391,-3.3660035133361816,-2.2969837188720703,-8.726948738098145,-4.6605753898620605
1,1,-4.156455008188884,-3.0860483646392822,-2.4335105419158936,-8.630114555358887,-4.87838077545166,-3.496311664581299
1,1,-4.848887101809184,-1.9227160215377808,-10.254673957824707,-4.854593753814697,-3.9339540004730225,-4.61482048034668
1,1,-4.791631642977396,-6.005154132843018,-4.730447292327881,-3.929464817047119,-4.6835432052612305,-4.420741081237793
1,1,-4.7467618227005,-4.616506099700928,-4.040205478668213,-4.865134239196777,-5.65529727935791,-2.674175500869751
1,1,-4.32807670434316,-3.8794801235198975,-4.9491095542907715,-5.714176654815674,-2.79176926612854,-1.965945839881897
1,1,-3.727938636144003,-4.369571685791016,-5.761440277099609,-1.5840753316879272,-1.3521454334259033,-1.7000467777252197
1,1,-3.0822513421376545,-4.999444484710693,-1.7628422975540161,-1.3042205572128296,-2.0545990467071533,-2.044902801513672
1,1,-2.385898820559184,-1.527571201324463,-1.2931709289550781,-1.8564255237579346,-1.7942626476287842,-2.383763313293457
1,1,-1.9579559485117597,-0.9598466157913208,-1.7848469018936157,-1.8654206991195679,-1.9273653030395508,-1.8106569051742554
1,1,-1.7850300312042238,-1.6018255949020386,-1.9618189334869385,-2.0415594577789307,-2.000567674636841,-1.9663487672805786
1,1,-1.8374196211496987,-1.5821486711502075,-1.838870644569397,-1.9592641592025757,-1.8153525590896606,-2.445401430130005
1,1,-1.8849257787068687,-1.589616060256958,-1.9097057580947876,-1.8899545669555664,-1.9723505973815918,-1.6991018056869507
1,1,-1.8840362230936687,-1.6161400079727173,-1.9724472761154175,-2.0351011753082275,-1.9335591793060303,-2.0015294551849365
1,1,-2.1103711048762004,-1.599017858505249,-1.8905484676361084,-1.791731357574463,-1.783988356590271,-5.9707746505737305
1,1,-2.737005162239075,-1.7994393110275269,-1.64008629322052,-1.677501916885376,-6.235051155090332,-7.108160972595215
1,1,-3.649722274144491,-1.5790643692016602,-1.4587770700454712,-6.224935054779053,-9.051909446716309,-4.934847831726074
1,1,-4.629462313652039,-2.4120137691497803,-6.301658630371094,-9.529394149780273,-5.129814147949219,-4.359280586242676
1,1,-5.248024360338847,-5.396426200866699,-9.774984359741211,-5.013352394104004,-4.629206657409668,-2.9247007369995117
1,1,-5.392289622624715,-7.65562105178833,-5.059482097625732,-4.734160423278809,-3.434633731842041,-4.52961540222168
1,1,-5.054019387563069,-4.935346603393555,-4.797198295593262,-3.4344778060913086,-4.889064311981201,-4.602020740509033
1,1,-4.662140321731568,-4.952065944671631,-3.5412895679473877,-4.951321125030518,-4.802555084228516,-3.613252639770508
1,1,-4.315705506006876,-3.289877414703369,-5.0058393478393555,-4.8487772941589355,-3.7914459705352783,-3.281050443649292
1,1,-4.142942746480306,-5.181215286254883,-4.98792028427124,-4.400610446929932,-3.417252779006958,-2.079667568206787
1,1,-3.975290616353352,-4.774318695068359,-4.516512393951416,-3.393101692199707,-2.586285352706909,-4.075484275817871
1,1,-3.7393363793690995,-4.380220890045166,-3.322587728500366,-2.6879794597625732,-3.1687235832214355,-3.1181652545928955
1,1,-3.403338479995727,-3.0016837120056152,-2.783461809158325,-3.101224660873413,-3.266711711883545,-2.8736159801483154
1,1,-3.0445688128471375,-2.754897356033325,-3.3361594676971436,-3.2036778926849365,-3.68312406539917,-0.9862986207008362
1,1,-2.987570528189341,-2.830273389816284,-3.1285178661346436,-3.114584445953369,-3.5263724327087402,-3.222954511642456
1,1,-2.9477120916048682,-3.2043261528015137,-3.7758986949920654,-2.2864761352539062,-2.9006242752075195,-2.261496067047119
1,1,-2.7618854920069373,-3.470247268676758,-1.5682423114776611,-2.9474639892578125,-1.2926229238510132,-1.8981819152832031
1,1,-2.416618490219116,-1.2993049621582031,-2.9423458576202393,-1.5309228897094727,-1.6746865510940552,-3.196437358856201
1,1,-2.0616277416547137,-2.4585466384887695,-1.5958633422851562,-1.5955166816711426,-3.0184223651885986,-0.4356110692024231
1,1,-2.063368539015452,-1.5086116790771484,-1.1417546272277832,-3.3594679832458496,-2.0019359588623047,-3.1911001205444336
1,1,-2.185615535577138,-3.084920883178711,-3.3961291313171387,-1.8936387300491333,-3.2618775367736816,-0.8408362865447998
1,1,-2.173426322142283,-3.1235861778259277,-1.7907339334487915,-3.154381513595581,-0.8524202704429626,0.0
1,1,-1.980510087807973,-1.516908049583435,-3.4059627056121826,-0.8378235101699829,0.0,-2.5484325885772705
1,1,-1.8163109978040055,-2.5970475673675537,-0.8425722122192383,0.0,-3.623049259185791,-2.951747179031372
1,1,-2.0635921398798622,-0.9908887147903442,-1.2746672630310059,-3.6460437774658203,-2.79068922996521,-3.9280500411987305
1,1,-2.433070556322733,-2.555756092071533,-2.4656014442443848,-3.4896252155303955,-3.138265609741211,-2.202054738998413
1,1,-2.8660011212031047,-2.4869914054870605,-4.517491817474365,-4.497072219848633,-2.4986817836761475,-2.5081374645233154
1,1,-2.772548500696818,-1.81919527053833,-4.544111728668213,-2.4859275817871094,-2.379315137863159,0.0
1,1,-2.754477373758952,-4.433318138122559,-2.258070468902588,-2.4475595951080322,0.0,-4.441287994384766
1,1,-2.329186960629054,-0.9781222939491272,-1.8853410482406616,-8.514948746096707e-09,-4.230058193206787,-3.035496950149536
1,1,-2.184647048087347,-1.7408688068389893,0.0,-4.2934370040893555,-3.0261452198028564,0.0
1,1,-1.8919768378848119,-1.1911604404449463,-4.223484516143799,-1.4797221422195435,0.0,-2.295815944671631
1,1,-1.8624674643789014,-3.642223358154297,-1.4424082040786743,-8.514948746096707e-09,-2.2367606163024902,-2.364985704421997
1,1,-1.9653402413640702,-1.2888234853744507,0.0,-2.215064764022827,-2.345855474472046,-4.753798961639404
1,1,-2.179630462896256,-0.8431857824325562,-2.85795521736145,-2.805016279220581,-4.779861927032471,-1.1185171604156494
1,1,-2.2435705145200093,-2.3314871788024902,-2.6793878078460693,-4.865645408630371,-0.7689582705497742,0.0
1,1,-2.1866643283915304,-4.249777793884277,-4.9055867195129395,-0.007082892116159201,-8.514948746096707e-09,-0.5875024795532227
1,1,-1.7779021170965967,-4.69645881652832,-0.007064634468406439,-2.554484446193328e-08,-0.6456570029258728,-0.9239227175712585
1,0,-1.1690176383736317,-0.0007769725052639842,-1.7029897492193413e-08,-0.6630314588546753,-0.8484030365943909,0.0
1,0,-0.8604881379365293,-1.0035321712493896,-0.6359226107597351,-0.45696645975112915,-1.7029897492193413e-08,-3.0255861282348633
1,0,-0.8634957669047743,-0.3002597987651825,-0.015196817927062511,-1.2772413526818127e-07,-3.309542179107666,-2.69321870803833
1,0,-1.3482606581668575,-1.1116259098052979,-0.00012815416266676039,-3.3035809993743896,-1.8978924751281738,-2.4704573154449463
1,1,-1.8390012105695355,-2.1068756580352783,-3.5896379947662354,-2.250528335571289,-2.3990607261657715,-2.1370129585266113
1,1,-2.2725736700299115,-3.3705174922943115,-2.2237164974212646,-2.3845059871673584,-2.115600347518921,-2.727464199066162
1,1,-2.3044033924738563,-2.0172224044799805,-2.324597120285034,-2.2107110023498535,-1.0268301963806152,-1.6817699670791626
1,1,-2.0604677995045977,-2.3501734733581543,-1.98947012424469,-1.3049103021621704,-1.5085201263427734,-1.671007752418518
1,1,-1.7594959139823911,-2.4811835289001465,-1.4679062366485596,-1.6798080205917358,-1.678337574005127,-0.9999908804893494
1,0,-1.599699258804321,-1.3464046716690063,-1.84604012966156,-1.823878526687622,-0.9067728519439697,-0.9410846829414368
1,0,-1.56699347893397,-1.4189393520355225,-1.963752031326294,-0.8762718439102173,-0.9122377038002014,-3.1622941493988037
1,0,-1.7372351646423336,-2.8393924236297607,-0.7597890496253967,-0.8648445010185242,-3.067927598953247,-3.3288979530334473
1,1,-2.0612723290920254,-0.2625283896923065,-0.5153334140777588,-3.04673171043396,-3.390850782394409,-4.509294033050537
1,1,-2.814170509576797,-0.8210552930831909,-2.935791254043579,-3.028066873550415,-5.585012912750244,-7.2570414543151855
1,1,-3.505552464723587,-2.7971723079681396,-2.1027145385742188,-6.3657755851745605,-8.488136291503906,-1.477782130241394
1,1,-4.241235375404357,-1.9209519624710083,-6.783649921417236,-8.379940032958984,-2.1858410835266113,-3.4895989894866943
1,1,-4.773208141326903,-5.55645227432251,-8.447776794433594,-3.1191160678863525,-3.3683249950408936,-7.114889144897461
1,1,-4.959562913576762,-7.094862937927246,-3.1901040077209473,-3.182904005050659,-4.824037075042725,-5.734994411468506
1,1,-4.778733873367309,-3.110391855239868,-3.161936044692993,-4.454807281494141,-4.915363311767578,-4.40504789352417
1,1,-4.506044006347656,-3.523710012435913,-5.043628692626953,-5.530740737915039,-5.178946018218994,-4.239185810089111
1,1,-4.047820043563842,-3.518800973892212,-3.894225597381592,-4.642980575561523,-2.410977602005005,-2.686558246612549
1,1,-4.024122460683187,-3.463048219680786,-4.0862321853637695,-2.4034101963043213,-6.8160223960876465,-2.9233696460723877
1,1,-4.091010634104411,-3.6765708923339844,-2.920883893966675,-4.760584354400635,-10.038200378417969,-3.1232943534851074
1,1,-4.624173355102539,-2.388814926147461,-6.0765380859375,-11.145390510559082,-3.1466236114501953,-2.3936166763305664
1,1,-5.096925640106201,-5.448041915893555,-10.951862335205078,-3.703237533569336,-3.181999444961548,-3.498225688934326
1,1,-4.920083856582642,-8.641512870788574,-3.7019412517547607,-3.366764545440674,-3.520659923553467,-2.636028528213501
1,1,-4.2622210502624505,-3.4208881855010986,-3.482048511505127,-3.608238935470581,-3.08764910697937,-1.6842169761657715
1,1,-3.5613708019256585,-3.9250600337982178,-3.3835792541503906,-2.8893589973449707,-1.9785034656524658,-4.094111442565918
1,1,-3.481122001012166,-3.4359138011932373,-3.0955922603607178,-2.036348819732666,-4.2499098777771,-7.845410346984863
1,1,-3.774524132410685,-2.8071322441101074,-2.000239372253418,-4.33721399307251,-7.8226494789123535,-2.7168385982513428
1,1,-3.7848878309840246,-1.7754124402999878,-4.250635623931885,-7.770150184631348,-2.6298704147338867,-8.514948746096707e-09
1,1,-3.894596890182722,-3.8729560375213623,-7.14980936050415,-2.5704755783081055,-0.0642581433057785,-8.651311874389648
1,1,-4.498996701286662,-6.550281047821045,-2.518031358718872,-0.02306322567164898,-8.521056175231934,-11.137639045715332
1,1,-4.790048479340248,-0.44480782747268677,-1.9584115307225147e-06,-8.552443504333496,-11.394185066223145,-0.40040698647499084
1,1,-4.934853495034775,-2.50941801071167,-8.493215560913086,-11.102438926696777,-2.3758137226104736,-8.514948746096707e-09
1,1,-4.650061037141285,-8.495884895324707,-11.062053680419922,-2.37790846824646,0.0,-2.542336940765381
1,1,-4.654348358086177,-12.311787605285645,-3.018803596496582,0.0,-2.7464451789855957,-2.779118776321411
1,1,-3.582054742177327,-2.695671319961548,0.0,-3.0875725746154785,-2.6132380962371826,0.0
1,1,-3.0528970247223257,-2.6479382514953613,-3.3724474906921387,-2.161928176879883,-8.514948746096707e-09,-8.358504295349121
1,1,-2.893711832607264,-0.6000627279281616,-2.071009397506714,-6.0124293668195605e-05,-8.105295181274414,-7.691949844360352
1,1,-4.0942170965865,-2.037583589553833,-0.030778279528021812,-8.076250076293945,-7.947294235229492,-8.312154769897461
1,1,-5.500795040774392,-1.8588892221450806,-8.133039474487305,-7.984727382659912,-8.783255577087402,-10.879575729370117
1,1,-7.169039105748136,-7.8532915115356445,-7.963273525238037,-8.54554557800293,-11.471501350402832,-7.658426284790039
1,1,-8.221567066510518,-8.027374267578125,-8.555312156677246,-12.041754722595215,-8.493202209472656,-5.074337005615234
1,1,-8.381167825063068,-8.28966999053955,-12.177331924438477,-8.447908401489258,-5.265981674194336,-5.852606773376465
1,1,-8.032329018910724,-12.0704984664917,-8.909404754638672,-5.299475193023682,-6.284575462341309,-5.695502281188965
1,1,-7.625426991780597,-8.686447143554688,-5.148892879486084,-6.634007453918457,-6.997479438781738,-8.621623039245605
1,1,-6.956919765472411,-5.438249588012695,-6.136006832122803,-7.377423286437988,-9.168113708496094,-1.8860969543457031
1,1,-5.996413515859193,-6.0487165451049805,-7.0871357917785645,-8.67095947265625,-2.0450477600097656,-2.8439364996302174e-06
1,1,-4.939115109894025,-6.600721836090088,-8.75380802154541,-2.1513407230377197,0.0,-2.7231032848358154
1,1,-3.867249368482179,-9.297699928283691,-0.5006281137466431,0.0,-3.06046986579895,-1.0691063404083252
1,1,-3.2159437437852216,-0.4633695185184479,0.0,-3.313048839569092,-1.066341519355774,-9.239518165588379
1,1,-3.5092945675055183,-2.603830337524414,-3.0834929943084717,-2.517583131790161,-8.511367797851562,-7.912961959838867
1,1,-4.499389566977818,-0.6935240626335144,-2.536710023880005,-8.619673728942871,-8.279953956604004,-8.649467468261719
1,1,-6.160293193658192,-2.5088071823120117,-8.31376838684082,-8.369091033935547,-9.059172630310059,-10.744993209838867
1,1,-7.540298775831857,-7.968620300292969,-8.792716026306152,-8.995268821716309,-11.368460655212402,-8.204254150390625
1,1,-8.434915510813394,-8.543593406677246,-9.036224365234375,-11.727627754211426,-8.469386100769043,-4.421748638153076
1,1,-8.649700164794922,-8.492226600646973,-11.775169372558594,-8.409562110900879,-5.767113208770752,-7.773530960083008
1,1,-8.206849670410156,-11.304381370544434,-8.136300086975098,-5.985764980316162,-7.832439422607422,-5.427676677703857
1,1,-7.984066073099771,-7.446153163909912,-6.005377769470215,-7.718923091888428,-7.33551549911499,-10.35085678100586
1,1,-7.949938964843748,-4.972417831420898,-7.648505687713623,-7.47193717956543,-11.151884078979492,-10.46095085144043
1,1,-8.175842634836831,-7.44780969619751,-7.42446231842041,-10.96311092376709,-10.75727653503418,-5.482458114624023
1,1,-7.981243189175921,-7.1512227058410645,-10.89618968963623,-11.232136726379395,-5.585331916809082,-1.0729535818099976
1,1,-7.098089069128034,-10.61247730255127,-10.767765998840332,-5.7441935539245605,-0.32379093766212463,-1.0101560354232788
1,1,-5.64645855228106,-11.26012897491455,-6.4039716720581055,-0.5134884119033813,-0.8452644944190979,-1.277806282043457
1,1,-3.8648038566112497,-5.954081058502197,-0.5979154109954834,-0.811854362487793,-0.7881119847297668,-1.061051368713379
1,1,-2.241227718194324,-0.4989103078842163,-0.8081974387168884,-0.7732531428337097,-0.877341091632843,-1.147039771080017
1,0,-1.1868638594945253,-0.794439435005188,-0.8410515189170837,-0.8629473447799683,-1.049943447113037,-0.9368202090263367
1,0,-0.8647649367650332,-0.8921532034873962,-0.8565113544464111,-1.0042932033538818,-0.7672458291053772,-0.8613267540931702
1,0,-0.8852758208910606,-0.6764751076698303,-0.9657086730003357,-0.8619772791862488,-0.82461017370224,-1.0836337804794312
1,0,-0.8165765484174076,-0.6594226360321045,-0.903549313545227,-0.8376035690307617,-1.0541373491287231,0.0
1,0,-0.8439545989036542,-0.5047029256820679,-0.7408309578895569,-0.8956962823867798,0.0,-2.650970935821533
1,0,-1.0648712476094546,-0.6331830620765686,-0.3083137273788452,0.0,-3.095919132232666,-3.6887388229370117
1,0,-1.5014170090357446,-0.6681904196739197,0.0,-4.688766002655029,-3.701747179031372,-0.9441956877708435
1,1,-1.8486908952395105,-2.354907751083374,-3.8592529296875,-2.385794162750244,-0.6081632375717163,-0.7931913137435913
1,0,-1.7352877179781576,-2.5681512355804443,-2.264282464981079,-0.6179402470588684,-0.5747331380844116,0.0
1,0,-1.3382310350735966,-0.8992288112640381,-0.5930355787277222,-0.13873517513275146,0.0,-2.4160494804382324
1,0,-0.9881993631521843,-0.40634045004844666,-0.6650580167770386,0.0,-2.4843547344207764,-1.195081114768982
1,0,-0.9617890318234744,-0.4910103976726532,0.0,-2.645951271057129,-1.1746169328689575,-1.317373514175415
1,1,-1.8741838177045167,-2.5364670753479004,-2.286712646484375,-1.2121143341064453,-1.3278075456619263,-10.369869232177734
1,1,-2.6577539145946485,-0.7168485522270203,-1.2383610010147095,-1.4903295040130615,-10.320066452026367,-2.7387802600860596
1,1,-3.5459279020627323,-0.8644500970840454,-1.2336379289627075,-10.215885162353516,-3.068125009536743,-3.5694637298583984
1,1,-3.820529536406197,-1.3909064531326294,-10.464608192443848,-2.864917039871216,-3.542545795440674,-3.589017868041992
1,1,-4.261802967389422,-10.463987350463867,-2.8984203338623047,-2.6732194423675537,-4.619395732879639,-2.4684643745422363
1,1,-4.250703088442482,-2.3502604961395264,-2.7280426025390625,-4.808726787567139,-2.435833692550659,-6.462200164794922
1,1,-4.25313402811686,-2.4653642177581787,-4.881293296813965,-2.3675296306610107,-9.580065727233887,-2.5942065715789795
1,1,-4.1560227870941135,-4.8441619873046875,-2.3876428604125977,-9.200501441955566,-3.07881498336792,-2.1556973457336426
1,1,-4.401743173599242,-2.387253999710083,-9.472334861755371,-3.1074411869049072,-2.3727245330810547,-5.131114959716797
1,1,-4.608089486757913,-7.5318474769592285,-3.007652759552002,-1.8895975351333618,-6.335355758666992,-6.219200611114502
1,1,-4.462977663675943,-2.7920048236846924,-1.8004807233810425,-5.875737190246582,-6.359859943389893,-2.6620585918426514
1,1,-4.472967704137164,-1.6704885959625244,-5.832552433013916,-6.2028093338012695,-2.7939257621765137,-6.120944023132324
1,1,-4.6304612874984725,-4.980265140533447,-6.054662227630615,-2.7753562927246094,-8.669318199157715,-4.866456031799316
1,1,-5.183247280120848,-5.6984148025512695,-2.8196017742156982,-7.830068111419678,-7.659379482269287,-3.7744669914245605
1,1,-5.492640352249143,-2.7892544269561768,-8.057098388671875,-8.060190200805664,-4.880457401275635,-3.4746158123016357
1,1,-5.162477032343545,-4.452603340148926,-5.1681036949157715,-2.6716411113739014,-6.220090389251709,-3.881169557571411
1,1,-4.760799837112425,-3.614210844039917,-2.53444242477417,-5.939248085021973,-6.043870449066162,-3.6250014305114746
1,1,-4.24669415950775,-1.7400367259979248,-4.547397136688232,-5.853424072265625,-5.739826202392578,-1.6693469285964966
1,1,-4.587288975715635,-4.1658244132995605,-7.458925724029541,-5.370974540710449,-8.293732643127441,-2.2130730152130127
